theme_key	word	pos	before	after	note
comida	sopa	n.f.	La _____ está caliente.	La _____ está caliente.	
comida	soso	adj.	Está _____, le falta sal.	Está _____, le falta sal.	
comida	ternera	n.f.	Pedí un filete de _____.	Pedí un filete de _____.	
comida	tomate	n.m.	Corto el _____ para la ensalada.	Corto el _____ para la ensalada.	
comida	tortilla	n.f.	La _____ de patatas es típica.	La _____ de patatas es típica.	
comida	vino	n.m.	Una copa de _____ tinto.	Una copa de _____ tinto.	
comida	zanahoria	n.f.	El conejo come _____s.	El conejo come _____s.	
comida	zumo	n.m.	El _____ está recién hecho.	El _____ está recién hecho.	
cuerpo	andar	v.	_____ media hora cada día.	_____ media hora cada día.	
cuerpo	barriga	n.f.	Le duele la _____.	Le duele la _____.	
cuerpo	boca	n.f.	Abre la _____, por favor.	Abre la _____, por favor.	
cuerpo	brazo	n.m.	Me duele el _____ derecho.	Me duele el _____ derecho.	
cuerpo	cabeza	n.f.	Me duele la _____.	Me duele la _____.	
cuerpo	cadera	n.f.	Se lesionó la _____.	Se lesionó la _____.	
cuerpo	cansancio	n.m.	Siento mucho _____.	Siento mucho _____.	
cuerpo	cara	n.f.	Tiene una _____ simpática.	Tiene una _____ simpática.	
cuerpo	ceja	n.f.	Se depila las _____s.	Se depila las _____s.	
cuerpo	cerebro	n.m.	El _____ humano es complejo.	El _____ humano es complejo.	
cuerpo	codo	n.m.	Se apoyó en el _____.	Se apoyó en el _____.	
cuerpo	corazón	n.m.	El _____ late rápido.	El _____ late rápido.	
cuerpo	correr	v.	_____ por el parque.	_____ por el parque.	
cuerpo	cuello	n.m.	Lleva una bufanda al _____.	Lleva una bufanda al _____.	
cuerpo	curarse	v.pron.	Se _____ rápido.	Se _____ rápido.	
cuerpo	dedo	n.m.	Me corté el _____.	Me corté el _____.	
cuerpo	descansar	v.	Necesito _____ un poco.	Necesito _____ un poco.	
cuerpo	diente	n.m.	Me lavo los _____s.	Me lavo los _____s.	
cuerpo	doler	v.	Me _____ todo el cuerpo.	Me _____ todo el cuerpo.	
cuerpo	dolor	n.m.	Siento un _____ fuerte.	Siento un _____ fuerte.	
cuerpo	enfermo	adj.	Estoy _____ hoy.	Estoy _____ hoy.	
cuerpo	escuchar	v.	_____ con atención.	_____ con atención.	
cuerpo	espalda	n.f.	Me duele la _____.	Me duele la _____.	
cuerpo	estómago	n.m.	Me duele el _____.	Me duele el _____.	
cuerpo	fiebre	n.f.	El niño tiene _____.	El niño tiene _____.	
cuerpo	frente	n.f.	Tiene la _____ ancha.	Tiene la _____ ancha.	
cuerpo	garganta	n.f.	Me duele la _____.	Me duele la _____.	
cuerpo	herida	n.f.	Se limpió la _____.	Se limpió la _____.	
cuerpo	hombro	n.m.	Me duele el _____.	Me duele el _____.	
cuerpo	hueso	n.m.	Se rompió un _____.	Se rompió un _____.	
cuerpo	labio	n.m.	Tiene los _____s secos.	Tiene los _____s secos.	
cuerpo	lengua	n.f.	Me mordí la _____.	Me mordí la _____.	
cuerpo	levantarse	v.pron.	Me _____ a las siete.	Me _____ a las siete.	
cuerpo	llorar	v.	El bebé _____ de noche.	El bebé _____ de noche.	
cuerpo	mano	n.f.	Dame la _____.	Dame la _____.	
cuerpo	mejilla	n.f.	El bebé tiene las _____s rosadas.	El bebé tiene las _____s rosadas.	
cuerpo	mirar	v.	_____ por la ventana.	_____ por la ventana.	
cuerpo	muñeca	n.f.	Me duele la _____.	Me duele la _____.	
cuerpo	músculo	n.m.	Estiro los _____s antes de correr.	Estiro los _____s antes de correr.	
cuerpo	nariz	n.f.	Me sangra la _____.	Me sangra la _____.	
cuerpo	ojo	n.m.	Tiene los _____s azules.	Tiene los _____s azules.	
cuerpo	oler	v.	NULL	NULL	
cuerpo	oreja	n.f.	Lleva un pendiente en la _____.	Lleva un pendiente en la _____.	
cuerpo	pecho	n.m.	Siente un dolor en el _____.	Siente un dolor en el _____.	
cuerpo	pelo	n.m.	Me voy a cortar el _____.	Me voy a cortar el _____.	
cuerpo	pie	n.m.	Tengo los _____s fríos.	Tengo los _____s fríos.	
cuerpo	piel	n.f.	Tiene la _____ muy suave.	Tiene la _____ muy suave.	
cuerpo	pierna	n.f.	Cruzó las _____s.	Cruzó las _____s.	
cuerpo	respirar	v.	_____ hondo y relájate.	_____ hondo y relájate.	
cuerpo	reír	v.	NULL	NULL	
cuerpo	rodilla	n.f.	Se hizo daño en la _____.	Se hizo daño en la _____.	
cuerpo	saltar	v.	El niño _____ de alegría.	El niño _____ de alegría.	
cuerpo	sangre	n.f.	Doné _____ ayer.	Doné _____ ayer.	
cuerpo	sano	adj.	NULL	Lleva una vida _____.	
cuerpo	sentarse	v.pron.	NULL	NULL	
cuerpo	sonreír	v.	_____ para la foto.	_____ para la foto.	
cuerpo	sudar	v.	_____ mucho cuando corro.	_____ mucho cuando corro.	
cuerpo	tobillo	n.m.	Me torcí el _____.	Me torcí el _____.	
cuerpo	tocar	v.	No _____ eso.	No _____ eso.	
cuerpo	uña	n.f.	Se pinta las _____s.	Se pinta las _____s.	
esencial	a menudo	adv.	Voy al gimnasio _____.	Voy al gimnasio _____.	
esencial	a pesar de	prep.	Salimos _____ la lluvia.	Salimos _____ la lluvia.	
esencial	a veces	adv.	_____ voy al cine solo.	_____ voy al cine solo.	
esencial	acabar	v.	_____ de llegar.	_____ de llegar.	
esencial	acaso	adv.	¿_____ no lo sabías?	¿_____ no lo sabías?	
esencial	actual	adj.	La situación _____ es difícil.	La situación _____ es difícil.	
esencial	adecuado	adj.	No es el momento _____.	No es el momento _____.	
esencial	además	adv.	_____, es muy barato.	_____, es muy barato.	
esencial	agua	n.f.	¿Puedo beber un poco de _____?	¿Puedo beber un poco de _____?	
esencial	ahora	adv.	_____ no puedo hablar.	_____ no puedo hablar.	
esencial	ajeno	adj.	No te metas en asuntos _____s.	No te metas en asuntos _____s.	
esencial	algo	pron.	¿Quieres _____ de beber?	¿Quieres _____ de beber?	
esencial	alguien	pron.	¿Hay _____ en casa?	¿Hay _____ en casa?	
esencial	allí	adv.	El banco está _____.	El banco está _____.	
esencial	amigo	n.m.	Voy al cine con un _____.	Voy al cine con un _____.	
esencial	amplio	adj.	Es una casa _____ y luminosa.	Es una casa _____ y luminosa.	
esencial	antes	adv.	Llámame _____ de venir.	Llámame _____ de venir.	
esencial	apenas	adv.	_____ lo conozco.	_____ lo conozco.	
esencial	apoyar	v.	Mi familia siempre me _____.	Mi familia siempre me _____.	
esencial	apoyo	n.m.	Gracias por tu _____.	Gracias por tu _____.	
esencial	aprovechar	v.	Hay que _____ el buen tiempo.	Hay que _____ el buen tiempo.	
esencial	aquí	adv.	Ven _____, por favor.	Ven _____, por favor.	
esencial	atreverse	v.pron.	No me _____ a decírselo.	No me _____ a decírselo.	
esencial	aumentar	v.	Los precios han _____.	Los precios han _____.	
esencial	aumento	n.m.	Hubo un _____ de precios.	Hubo un _____ de precios.	
esencial	aunque	conj.	Salgo _____ llueva.	Salgo _____ llueva.	
esencial	ayer	adv.	_____ llovió todo el día.	_____ llovió todo el día.	
esencial	ayudar	v.	¿Puedes _____me?	¿Puedes _____me?	
esencial	año	n.m.	Tengo treinta _____s.	Tengo treinta _____s.	
esencial	barato	adj.	Encontré un hotel _____.	Encontré un hotel _____.	
esencial	bastante	adv.	Es _____ fácil.	Es _____ fácil.	
esencial	bueno	adj.	Es un _____ restaurante.	Es un _____ restaurante.	
esencial	buscar	v.	_____ mis gafas.	_____ mis gafas.	
esencial	cada	adj.	_____ día es diferente.	_____ día es diferente.	
esencial	cambiar	v.	Quiero _____ de trabajo.	Quiero _____ de trabajo.	
esencial	cansado	adj.	Estoy _____ después del trabajo.	Estoy _____ después del trabajo.	
esencial	capaz	adj.	Es _____ de hacerlo solo.	Es _____ de hacerlo solo.	
esencial	caro	adj.	Este restaurante es muy _____.	Este restaurante es muy _____.	
esencial	casa	n.f.	Mi _____ está cerca del centro.	Mi _____ está cerca del centro.	
esencial	casi	adv.	Ya _____ hemos llegado.	Ya _____ hemos llegado.	
esencial	cerca	adv.	Vivo _____ del centro.	Vivo _____ del centro.	
esencial	ciudad	n.f.	Vivo en una _____ grande.	Vivo en una _____ grande.	
esencial	coche	n.m.	Voy en _____ al trabajo.	Voy en _____ al trabajo.	
esencial	comida	n.f.	La _____ está muy rica.	La _____ está muy rica.	
esencial	complejo	adj.	Es un problema _____.	Es un problema _____.	
esencial	conocer	v.	¿_____ a María?	¿_____ a María?	
esencial	consciente	adj.	Soy _____ del problema.	Soy _____ del problema.	
esencial	conseguir	v.	_____ un buen trabajo.	_____ un buen trabajo.	
esencial	convertirse	v.pron.	Se ha _____ en un experto.	Se ha _____ en un experto.	
esencial	cosa	n.f.	Tengo muchas _____s que hacer.	Tengo muchas _____s que hacer.	
esencial	cotidiano	adj.	Forma parte de la vida _____	Forma parte de la vida _____	
esencial	dar	v.	¿Me _____ tu número?	¿Me _____ tu número?	
esencial	darse cuenta	v.pron.	NULL	NULL	
esencial	dato	n.m.	Necesito más _____s.	Necesito más _____s.	
esencial	de hecho	adv.	_____, ya lo sabía.	_____, ya lo sabía.	
esencial	decir	v.	Siempre _____ la verdad.	Siempre _____ la verdad.	
esencial	dejar	v.	_____ las llaves en la mesa.	_____ las llaves en la mesa.	
esencial	demasiado	adv.	Hace _____ calor.	Hace _____ calor.	
esencial	dentro	adv.	Espérame _____.	Espérame _____.	
esencial	desarrollar	v.	La empresa _____ nuevas ideas.	La empresa _____ nuevas ideas.	
esencial	desarrollo	n.m.	El _____ del proyecto va bien.	El _____ del proyecto va bien.	
esencial	después	adv.	Hablamos _____.	Hablamos _____.	
esencial	diferente	adj.	Este es _____ al otro.	Este es _____ al otro.	
esencial	difícil	adj.	El examen fue muy _____.	El examen fue muy _____.	
esencial	dinero	n.m.	No tengo mucho _____.	No tengo mucho _____.	
esencial	disminuir	v.	El ruido _____ por la noche.	El ruido _____ por la noche.	
esencial	dispuesto	adj.	Estoy _____ a ayudar.	Estoy _____ a ayudar.	
esencial	dueño	n.m.	El _____ del piso es muy amable.	El _____ del piso es muy amable.	
esencial	día	n.m.	Cada _____ aprendo algo nuevo.	Cada _____ aprendo algo nuevo.	
esencial	empezar	v.	La película _____ ahora.	La película _____ ahora.	
esencial	en cambio	adv.	Él es alto; ella, _____, es baja.	Él es alto; ella, _____, es baja.	
esencial	enseguida	adv.	Vuelvo _____.	Vuelvo _____.	
esencial	entender	v.	No _____ la pregunta.	No _____ la pregunta.	
esencial	enterarse	v.pron.	Me _____ ayer de la noticia.	Me _____ ayer de la noticia.	
esencial	entonces	adv.	_____, ¿qué hacemos?	_____, ¿qué hacemos?	
esencial	entorno	n.m.	Trabajo en un _____ tranquilo.	Trabajo en un _____ tranquilo.	
esencial	escaso	adj.	El agua es un recurso _____.	El agua es un recurso _____.	
esencial	esfuerzo	n.m.	Con _____ todo es posible.	Con _____ todo es posible.	
esencial	esperar	v.	Te _____ en la puerta.	Te _____ en la puerta.	
esencial	estar	v.	_____ muy cansado hoy.	_____ muy cansado hoy.	
esencial	evitar	v.	Intento _____ el azúcar.	Intento _____ el azúcar.	
esencial	exigir	v.	El trabajo _____ mucha atención.	El trabajo _____ mucha atención.	
esencial	exitoso	adj.	Fue un evento muy _____.	Fue un evento muy _____.	
esencial	familia	n.f.	Paso los domingos con mi _____.	Paso los domingos con mi _____.	
esencial	feliz	adj.	Estoy muy _____ hoy.	Estoy muy _____ hoy.	
esencial	fuera	adv.	Los niños juegan _____.	Los niños juegan _____.	
esencial	fácil	adj.	Esta lección es _____.	Esta lección es _____.	
esencial	gente	n.f.	Hay mucha _____ en la calle.	Hay mucha _____ en la calle.	
esencial	grande	adj.	Viven en una casa _____.	Viven en una casa _____.	
esencial	hacer	v.	¿Qué _____ el fin de semana?	¿Qué _____ el fin de semana?	
esencial	hecho	n.m.	Es un _____ conocido.	Es un _____ conocido.	
esencial	hijo	n.m.	Su _____ tiene cinco años.	Su _____ tiene cinco años.	
esencial	hombre	n.m.	Ese _____ es mi vecino.	Ese _____ es mi vecino.	
esencial	hora	n.f.	¿Qué _____ es?	¿Qué _____ es?	
esencial	hoy	adv.	_____ es lunes.	_____ es lunes.	
esencial	impedir	v.	NULL	NULL	
esencial	importante	adj.	Es una reunión _____.	Es una reunión _____.	
esencial	imprescindible	adj.	El pasaporte es _____.	El pasaporte es _____.	
esencial	inconveniente	n.m.	No hay ningún _____.	No hay ningún _____.	
esencial	intentar	v.	Voy a _____lo otra vez.	Voy a _____lo otra vez.	
esencial	ir	v.	_____ al trabajo en coche.	_____ al trabajo en coche.	
esencial	joven	adj.	Es demasiado _____ para eso.	Es demasiado _____ para eso.	
esencial	lejos	adv.	La estación está _____.	La estación está _____.	
esencial	llegar	v.	El tren _____ a las diez.	El tren _____ a las diez.	
esencial	lleno	adj.	El vaso está _____.	El vaso está _____.	
esencial	llevar	v.	_____ una chaqueta azul.	_____ una chaqueta azul.	
esencial	lograr	v.	_____ terminar a tiempo.	_____ terminar a tiempo.	
esencial	logro	n.m.	Es un gran _____ para el equipo.	Es un gran _____ para el equipo.	
esencial	luego	adv.	Primero como y _____ trabajo.	Primero como y _____ trabajo.	
esencial	lugar	n.m.	Es un _____ tranquilo.	Es un _____ tranquilo.	
esencial	madre	n.f.	Mi _____ cocina muy bien.	Mi _____ cocina muy bien.	
esencial	malo	adj.	Este libro es muy _____.	Este libro es muy _____.	
esencial	mediante	prep.	Se paga _____ tarjeta.	Se paga _____ tarjeta.	
esencial	medida	n.f.	Han tomado nuevas _____s.	Han tomado nuevas _____s.	
esencial	mejorar	v.	Quiero _____ mi español.	Quiero _____ mi español.	
esencial	meta	n.f.	Mi _____ es hablar con fluidez.	Mi _____ es hablar con fluidez.	
esencial	mientras	conj.	Escucho música _____ trabajo.	Escucho música _____ trabajo.	
esencial	mismo	adj.	Vivimos en la _____ calle.	Vivimos en la _____ calle.	
esencial	momento	n.m.	Espera un _____.	Espera un _____.	
esencial	mujer	n.f.	Es una _____ muy inteligente.	Es una _____ muy inteligente.	
esencial	mundo	n.m.	Quiero viajar por el _____.	Quiero viajar por el _____.	
esencial	muy	adv.	Estoy _____ contento.	Estoy _____ contento.	
esencial	nada	pron.	No hay _____ en la nevera.	No hay _____ en la nevera.	
esencial	necesitar	v.	_____ descansar.	_____ descansar.	
esencial	niño	n.m.	El _____ juega en el parque.	El _____ juega en el parque.	
esencial	noche	n.f.	Buenas _____s.	Buenas _____s.	
esencial	nombre	n.m.	¿Cuál es tu _____?	¿Cuál es tu _____?	
esencial	nuevo	adj.	Tengo un trabajo _____.	Tengo un trabajo _____.	
esencial	nunca	adv.	_____ he estado en España.	_____ he estado en España.	
esencial	ocio	n.m.	En mi tiempo de _____ leo.	En mi tiempo de _____ leo.	
esencial	otro	adj.	¿Quieres _____ café?	¿Quieres _____ café?	
esencial	padre	n.m.	Mi _____ es profesor.	Mi _____ es profesor.	
esencial	palabra	n.f.	No entiendo esta _____.	No entiendo esta _____.	
esencial	parecer	v.	_____ que va a llover.	_____ que va a llover.	
esencial	pasar	v.	¿Qué ha _____ aquí?	¿Qué ha _____ aquí?	
esencial	país	n.m.	España es un _____ bonito.	España es un _____ bonito.	
esencial	pensar	v.	_____ que tienes razón.	_____ que tienes razón.	
esencial	pequeño	adj.	Tengo un coche _____.	Tengo un coche _____.	
esencial	plazo	n.m.	El _____ termina el viernes.	El _____ termina el viernes.	
esencial	poder	v.	¿_____ ayudarme, por favor?	¿_____ ayudarme, por favor?	
esencial	poner	v.	_____ los libros en la mesa.	_____ los libros en la mesa.	maskSentence now also matches (stem pon-); cloze unchanged — trusted paradigm masks it first
esencial	ponerse	v.pron.	Se _____ el abrigo y salió.	Se _____ el abrigo y salió.	
esencial	por lo tanto	conj.	Llueve; _____, no salgo.	Llueve; _____, no salgo.	
esencial	primero	adj.	Es mi _____ día aquí.	Es mi _____ día aquí.	
esencial	problema	n.m.	No hay ningún _____.	No hay ningún _____.	
esencial	profundo	adj.	Es un tema muy _____.	Es un tema muy _____.	
esencial	propio	adj.	Tiene su _____ estilo.	Tiene su _____ estilo.	
esencial	próximo	adj.	La _____ semana empiezo.	La _____ semana empiezo.	
esencial	quejarse	v.pron.	Siempre se _____ del trabajo.	Siempre se _____ del trabajo.	
esencial	querer	v.	_____ aprender español.	_____ aprender español.	
esencial	quizás	adv.	_____ venga mañana.	_____ venga mañana.	
esencial	recordar	v.	No _____ su nombre.	No _____ su nombre.	
esencial	recurso	n.m.	Internet es un buen _____.	Internet es un buen _____.	
esencial	respecto a	prep.	_____ eso, tengo dudas.	_____ eso, tengo dudas.	
esencial	riesgo	n.m.	Es un _____ demasiado grande.	Es un _____ demasiado grande.	
esencial	rápido	adj.	Es un tren muy _____.	Es un tren muy _____.	
esencial	saber	v.	No _____ dónde está la estación.	No _____ dónde está la estación.	
esencial	salir	v.	_____ de casa a las ocho.	_____ de casa a las ocho.	
esencial	seguir	v.	_____ todo recto.	_____ todo recto.	
esencial	semana	n.f.	Nos vemos la próxima _____.	Nos vemos la próxima _____.	
esencial	sencillo	adj.	Es una idea _____	Es una idea _____	
esencial	ser	v.	Quiero _____ médico.	Quiero _____ médico.	
esencial	siempre	adv.	_____ llego a tiempo.	_____ llego a tiempo.	
esencial	sin embargo	adv.	Es caro; _____, lo compró.	Es caro; _____, lo compró.	
esencial	soler	v.	NULL	NULL	
esencial	suave	adj.	La manta es muy _____.	La manta es muy _____.	
esencial	suficiente	adj.	No tengo _____ dinero.	No tengo _____ dinero.	
esencial	suponer	v.	_____ que tienes razón.	_____ que tienes razón.	
esencial	también	adv.	Yo _____ quiero ir.	Yo _____ quiero ir.	
esencial	tampoco	adv.	Yo _____ lo sé.	Yo _____ lo sé.	
esencial	temprano	adv.	Me levanto _____.	Me levanto _____.	
esencial	tener	v.	_____ dos hermanos.	_____ dos hermanos.	
esencial	tiempo	n.m.	No tengo _____ esta semana.	No tengo _____ esta semana.	
esencial	todavía	adv.	_____ no he terminado.	_____ no he terminado.	
esencial	trabajo	n.m.	Tengo mucho _____ hoy.	Tengo mucho _____ hoy.	
esencial	tratar	v.	_____ de comer sano.	_____ de comer sano.	
esencial	venir	v.	¿_____ a la fiesta?	¿_____ a la fiesta?	
esencial	ventaja	n.f.	Tiene muchas _____s.	Tiene muchas _____s.	
esencial	ver	v.	Desde aquí se _____ el mar.	Desde aquí se _____ el mar.	
esencial	vez	n.f.	Es la primera _____.	Es la primera _____.	
esencial	vida	n.f.	Así es la _____.	Así es la _____.	
esencial	viejo	adj.	Es un coche muy _____.	Es un coche muy _____.	
esencial	vivir	v.	_____ en Madrid.	_____ en Madrid.	
esencial	volver	v.	_____ en cinco minutos.	_____ en cinco minutos.	
esencial	ya	adv.	_____ he terminado.	_____ he terminado.	
esencial	ámbito	n.m.	Es experta en el _____ de la salud.	Es experta en el _____ de la salud.	
esencial	último	adj.	NULL	Es la _____ vez que lo digo.	
familia	abuela	n.f.	Mi _____ hace un pastel riquísimo.	Mi _____ hace un pastel riquísimo.	
familia	abuelo	n.m.	Mi _____ tiene noventa años.	Mi _____ tiene noventa años.	
familia	adoptar	v.	_____ a una niña.	_____ a una niña.	
familia	adulto	n.m.	Ya es un _____.	Ya es un _____.	
familia	amigo	n.m.	Es un _____ de la infancia.	Es un _____ de la infancia.	
familia	anciano	n.m.	Ayudo a los _____s del barrio.	Ayudo a los _____s del barrio.	
familia	apellido	n.m.	Compartimos el mismo _____.	Compartimos el mismo _____.	
