theme_key	word	pos	example_es
esencial	diferente	adj.	Este es diferente al otro.
esencial	difícil	adj.	El examen fue muy difícil.
esencial	dinero	n.m.	No tengo mucho dinero.
esencial	disminuir	v.	El ruido disminuye por la noche.
esencial	dispuesto	adj.	Estoy dispuesto a ayudar.
esencial	dueño	n.m.	El dueño del piso es muy amable.
esencial	día	n.m.	Cada día aprendo algo nuevo.
esencial	empezar	v.	La película empieza ahora.
esencial	en cambio	adv.	Él es alto; ella, en cambio, es baja.
esencial	enseguida	adv.	Vuelvo enseguida.
esencial	entender	v.	No entiendo la pregunta.
esencial	enterarse	v.pron.	Me enteré ayer de la noticia.
esencial	entonces	adv.	Entonces, ¿qué hacemos?
esencial	entorno	n.m.	Trabajo en un entorno tranquilo.
esencial	escaso	adj.	El agua es un recurso escaso.
esencial	esfuerzo	n.m.	Con esfuerzo todo es posible.
esencial	esperar	v.	Te espero en la puerta.
esencial	estar	v.	Estoy muy cansado hoy.
esencial	evitar	v.	Intento evitar el azúcar.
esencial	exigir	v.	El trabajo exige mucha atención.
esencial	exitoso	adj.	Fue un evento muy exitoso.
esencial	familia	n.f.	Paso los domingos con mi familia.
esencial	feliz	adj.	Estoy muy feliz hoy.
esencial	fuera	adv.	Los niños juegan fuera.
esencial	fácil	adj.	Esta lección es fácil.
esencial	gente	n.f.	Hay mucha gente en la calle.
esencial	grande	adj.	Viven en una casa grande.
esencial	hacer	v.	¿Qué haces el fin de semana?
esencial	hecho	n.m.	Es un hecho conocido.
esencial	hijo	n.m.	Su hijo tiene cinco años.
esencial	hombre	n.m.	Ese hombre es mi vecino.
esencial	hora	n.f.	¿Qué hora es?
esencial	hoy	adv.	Hoy es lunes.
esencial	impedir	v.	La lluvia impidió el partido.
esencial	importante	adj.	Es una reunión importante.
esencial	imprescindible	adj.	El pasaporte es imprescindible.
esencial	inconveniente	n.m.	No hay ningún inconveniente.
esencial	intentar	v.	Voy a intentarlo otra vez.
esencial	ir	v.	Voy al trabajo en coche.
esencial	joven	adj.	Es demasiado joven para eso.
esencial	lejos	adv.	La estación está lejos.
esencial	llegar	v.	El tren llega a las diez.
esencial	lleno	adj.	El vaso está lleno.
esencial	llevar	v.	Llevo una chaqueta azul.
esencial	lograr	v.	Logró terminar a tiempo.
esencial	logro	n.m.	Es un gran logro para el equipo.
esencial	luego	adv.	Primero como y luego trabajo.
esencial	lugar	n.m.	Es un lugar tranquilo.
esencial	madre	n.f.	Mi madre cocina muy bien.
esencial	malo	adj.	Este libro es muy malo.
esencial	mediante	prep.	Se paga mediante tarjeta.
esencial	medida	n.f.	Han tomado nuevas medidas.
esencial	mejorar	v.	Quiero mejorar mi español.
esencial	meta	n.f.	Mi meta es hablar con fluidez.
esencial	mientras	conj.	Escucho música mientras trabajo.
esencial	mismo	adj.	Vivimos en la misma calle.
esencial	momento	n.m.	Espera un momento.
esencial	mujer	n.f.	Es una mujer muy inteligente.
esencial	mundo	n.m.	Quiero viajar por el mundo.
esencial	muy	adv.	Estoy muy contento.
esencial	nada	pron.	No hay nada en la nevera.
esencial	necesitar	v.	Necesito descansar.
esencial	niño	n.m.	El niño juega en el parque.
esencial	noche	n.f.	Buenas noches.
esencial	nombre	n.m.	¿Cuál es tu nombre?
esencial	nuevo	adj.	Tengo un trabajo nuevo.
esencial	nunca	adv.	Nunca he estado en España.
esencial	ocio	n.m.	En mi tiempo de ocio leo.
esencial	otro	adj.	¿Quieres otro café?
esencial	padre	n.m.	Mi padre es profesor.
esencial	palabra	n.f.	No entiendo esta palabra.
esencial	parecer	v.	Parece que va a llover.
esencial	pasar	v.	¿Qué ha pasado aquí?
esencial	país	n.m.	España es un país bonito.
esencial	pensar	v.	Pienso que tienes razón.
esencial	pequeño	adj.	Tengo un coche pequeño.
esencial	plazo	n.m.	El plazo termina el viernes.
esencial	poder	v.	¿Puedes ayudarme, por favor?
esencial	poner	v.	Pon los libros en la mesa.
esencial	ponerse	v.pron.	Se puso el abrigo y salió.
esencial	por lo tanto	conj.	Llueve; por lo tanto, no salgo.
esencial	primero	adj.	Es mi primer día aquí.
esencial	problema	n.m.	No hay ningún problema.
esencial	profundo	adj.	Es un tema muy profundo.
esencial	propio	adj.	Tiene su propio estilo.
esencial	próximo	adj.	La próxima semana empiezo.
esencial	quejarse	v.pron.	Siempre se queja del trabajo.
esencial	querer	v.	Quiero aprender español.
esencial	quizás	adv.	Quizás venga mañana.
esencial	recordar	v.	No recuerdo su nombre.
esencial	recurso	n.m.	Internet es un buen recurso.
esencial	respecto a	prep.	Respecto a eso, tengo dudas.
esencial	riesgo	n.m.	Es un riesgo demasiado grande.
esencial	rápido	adj.	Es un tren muy rápido.
esencial	saber	v.	No sé dónde está la estación.
esencial	salir	v.	Salgo de casa a las ocho.
esencial	seguir	v.	Sigue todo recto.
esencial	semana	n.f.	Nos vemos la próxima semana.
esencial	sencillo	adj.	Es una idea sencilla.
esencial	ser	v.	Quiero ser médico.
esencial	siempre	adv.	Siempre llego a tiempo.
esencial	sin embargo	adv.	Es caro; sin embargo, lo compró.
esencial	soler	v.	Suelo levantarme temprano.
esencial	suave	adj.	La manta es muy suave.
esencial	suficiente	adj.	No tengo suficiente dinero.
esencial	suponer	v.	Supongo que tienes razón.
esencial	también	adv.	Yo también quiero ir.
esencial	tampoco	adv.	Yo tampoco lo sé.
esencial	temprano	adv.	Me levanto temprano.
esencial	tener	v.	Tengo dos hermanos.
esencial	tiempo	n.m.	No tengo tiempo esta semana.
esencial	todavía	adv.	Todavía no he terminado.
esencial	trabajo	n.m.	Tengo mucho trabajo hoy.
esencial	tratar	v.	Trato de comer sano.
esencial	venir	v.	¿Vienes a la fiesta?
esencial	ventaja	n.f.	Tiene muchas ventajas.
esencial	ver	v.	Desde aquí se ve el mar.
esencial	vez	n.f.	Es la primera vez.
esencial	vida	n.f.	Así es la vida.
esencial	viejo	adj.	Es un coche muy viejo.
esencial	vivir	v.	Vivo en Madrid.
esencial	volver	v.	Vuelvo en cinco minutos.
esencial	ya	adv.	Ya he terminado.
esencial	ámbito	n.m.	Es experta en el ámbito de la salud.
esencial	último	adj.	Es la última vez que lo digo.
familia	abuela	n.f.	Mi abuela hace un pastel riquísimo.
familia	abuelo	n.m.	Mi abuelo tiene noventa años.
familia	adoptar	v.	Adoptaron a una niña.
familia	adulto	n.m.	Ya es un adulto.
familia	amigo	n.m.	Es un amigo de la infancia.
familia	anciano	n.m.	Ayudo a los ancianos del barrio.
familia	apellido	n.m.	Compartimos el mismo apellido.
familia	apoyar	v.	Mi familia siempre me apoya.
familia	bebé	n.m.	El bebé duerme toda la noche.
familia	boda	n.f.	La boda es en junio.
familia	cariño	n.m.	Les tengo mucho cariño.
familia	casado	adj.	Está casado desde hace diez años.
familia	casarse	v.pron.	Se casan el año que viene.
familia	crecer	v.	Los niños crecen deprisa.
familia	criar	v.	Crían a sus hijos con cariño.
familia	cuidar	v.	Cuido a mis abuelos.
familia	cuñado	n.m.	Mi cuñado es muy simpático.
familia	discutir	v.	A veces discutimos, es normal.
familia	divorciado	adj.	Sus padres están divorciados.
familia	echar de menos	v.	Echo de menos a mi hermana.
familia	embarazada	adj.	Mi hermana está embarazada.
familia	familiar	n.m.	Vino un familiar de visita.
familia	gemelo	n.m.	Tienen gemelos.
familia	generación	n.f.	Somos tres generaciones en casa.
familia	hermana	n.f.	Mi hermana vive en Francia.
familia	hermano	n.m.	Mi hermano es mayor que yo.
familia	hija	n.f.	Tienen una hija pequeña.
familia	hijo	n.m.	Su hijo mayor estudia fuera.
familia	hogar	n.m.	Crecí en un hogar feliz.
familia	infancia	n.f.	Tengo buenos recuerdos de mi infancia.
familia	joven	adj.	De joven vivía aquí.
familia	llevarse	v.pron.	Me llevo bien con mis hermanos.
familia	madre	n.f.	Mi madre vive cerca.
familia	marido	n.m.	Su marido cocina muy bien.
familia	morir	v.	Su abuelo murió en invierno.
familia	mujer	n.f.	Voy al cine con mi mujer.
familia	nacer	v.	El bebé nació ayer.
familia	nieta	n.f.	Su nieta empieza el colegio.
familia	nieto	n.m.	Los abuelos cuidan al nieto.
familia	niño	n.m.	Los niños juegan en el jardín.
familia	novia	n.f.	Conocí a su novia ayer.
familia	novio	n.m.	Su novio es músico.
familia	padre	n.m.	Mi padre se jubiló.
familia	padres	n.m.	Visito a mis padres los domingos.
familia	parecerse	v.pron.	Te pareces a tu madre.
familia	pareja	n.f.	Viven en pareja.
familia	pariente	n.m.	Tengo parientes en México.
familia	primo	n.m.	Juego con mis primos.
familia	querer	v.	Quiero mucho a mi familia.
familia	reunirse	v.pron.	La familia se reúne en Navidad.
familia	separarse	v.pron.	Se separaron el año pasado.
familia	sobrino	n.m.	Mi sobrino cumple cinco años.
familia	soltero	adj.	Sigue soltero.
familia	suegra	n.f.	Mi suegra viene a cenar.
familia	suegro	n.m.	Mi suegro juega al golf.
familia	tía	n.f.	Mi tía es enfermera.
familia	tío	n.m.	Mi tío vive en el pueblo.
familia	vecino	n.m.	Los vecinos son muy amables.
familia	visitar	v.	Nos visitan cada verano.
familia	yerno	n.m.	Su yerno trabaja con él.
fiesta	Año Nuevo	n.m.	Celebramos el Año Nuevo juntos.
fiesta	Navidad	n.f.	Pasamos la Navidad en familia.
fiesta	adorno	n.m.	Colgamos los adornos.
fiesta	alegría	n.f.	La fiesta fue pura alegría.
fiesta	ambiente	n.m.	Había muy buen ambiente.
fiesta	anfitrión	n.m.	El anfitrión nos recibió bien.
fiesta	aniversario	n.m.	Es su aniversario de boda.
fiesta	aplaudir	v.	Todos aplaudieron al final.
fiesta	bailar	v.	Bailamos toda la noche.
fiesta	baile	n.m.	El baile duró hasta tarde.
fiesta	bebida	n.f.	Hay bebidas en la nevera.
fiesta	boda	n.f.	Bailamos toda la boda.
fiesta	brindar	v.	Brindamos por los novios.
fiesta	brindis	n.m.	Hizo un brindis emotivo.
fiesta	cantar	v.	Cantamos el cumpleaños feliz.
fiesta	celebración	n.f.	Fue una celebración preciosa.
fiesta	celebrar	v.	Celebramos el ascenso.
fiesta	champán	n.m.	Abrimos una botella de champán.
fiesta	concierto	n.m.	El concierto empieza a las nueve.
fiesta	confeti	n.m.	Tiraron confeti al final.
fiesta	copa	n.f.	Levantamos la copa.
fiesta	cumpleaños	n.m.	Hoy es mi cumpleaños.
fiesta	decorar	v.	Decoramos el salón.
fiesta	deseo	n.m.	Pide un deseo.
fiesta	discoteca	n.f.	Salimos a la discoteca.
fiesta	discurso	n.m.	El padre dio un discurso.
fiesta	disfraz	n.m.	Llevo un disfraz de pirata.
fiesta	disfrutar	v.	Disfruté de la fiesta.
fiesta	divertirse	v.pron.	Nos divertimos mucho.
fiesta	emoción	n.f.	Lloró de la emoción.
fiesta	enhorabuena	n.f.	¡Enhorabuena por la boda!
fiesta	entrada	n.f.	Compré las entradas del concierto.
fiesta	felicidad	n.f.	Les deseo mucha felicidad.
fiesta	felicitar	v.	Te felicito por el premio.
fiesta	feliz	adj.	¡Feliz cumpleaños!
fiesta	feria	n.f.	La feria del pueblo es en agosto.
fiesta	fiesta	n.f.	Vamos a una fiesta el sábado.
fiesta	fuegos artificiales	n.m.	Vimos los fuegos artificiales.
fiesta	gente	n.f.	Había mucha gente en la fiesta.
fiesta	globo	n.m.	Decoramos con globos.
fiesta	invitación	n.f.	Recibí la invitación por correo.
fiesta	invitado	n.m.	Llegaron todos los invitados.
fiesta	invitados	n.m.	Somos veinte invitados.
fiesta	invitar	v.	Te invito a mi fiesta.
fiesta	máscara	n.f.	Lleva una máscara de carnaval.
fiesta	música	n.f.	Pon música alegre.
fiesta	organizar	v.	Organizo la fiesta sorpresa.
fiesta	pastel	n.m.	El pastel tiene velas.
fiesta	piñata	n.f.	Los niños rompieron la piñata.
fiesta	preparar	v.	Preparamos todo la víspera.
fiesta	recordar	v.	Recordaremos este día.
fiesta	recuerdo	n.m.	Guardo un buen recuerdo de la boda.
fiesta	regalo	n.m.	Abre tu regalo.
fiesta	reunir	v.	La fiesta reunió a toda la familia.
fiesta	reír	v.	Reímos sin parar.
fiesta	sorpresa	n.f.	Es una fiesta sorpresa.
fiesta	tarta	n.f.	Cortamos la tarta.
fiesta	tradición	n.f.	Es una tradición familiar.
fiesta	vela	n.f.	Sopla las velas.
fiesta	villancico	n.m.	Cantamos villancicos en Navidad.
ropa	abrigo	n.m.	En invierno llevo abrigo.
ropa	algodón	n.m.	Prefiero las camisetas de algodón.
ropa	amarillo	adj.	Una camiseta amarilla.
ropa	ancho	adj.	Prefiero la ropa ancha.
ropa	apretar	v.	Estos zapatos me aprietan.
ropa	azul	adj.	Unos vaqueros azules.
ropa	blanco	adj.	Una camisa blanca.
ropa	blusa	n.f.	Lleva una blusa de seda.
ropa	bolsillo	n.m.	Lo llevo en el bolsillo.
ropa	bolso	n.m.	Guardo las llaves en el bolso.
ropa	bota	n.f.	Con la lluvia llevo botas.
ropa	botón	n.m.	Se me cayó un botón.
ropa	bufanda	n.f.	Me pongo la bufanda.
ropa	calcetín	n.m.	Falta un calcetín.
ropa	calzoncillo	n.m.	Compró calzoncillos nuevos.
ropa	camisa	n.f.	Se puso una camisa azul.
ropa	camiseta	n.f.	Llevo una camiseta blanca.
ropa	chaleco	n.m.	Un chaleco sin mangas.
ropa	chaqueta	n.f.	Cuelga la chaqueta ahí.
ropa	chándal	n.m.	Se puso el chándal para entrenar.
ropa	cinturón	n.m.	Se abrocha el cinturón.
ropa	corbata	n.f.	Lleva corbata a la reunión.
ropa	cremallera	n.f.	Se rompió la cremallera.
ropa	cuero	n.m.	Una chaqueta de cuero.
ropa	estrecho	adj.	Este pantalón es muy estrecho.
ropa	falda	n.f.	Lleva una falda larga.
ropa	gafas	n.f.	Llevo gafas para leer.
ropa	gorra	n.f.	Lleva una gorra roja.
ropa	guante	n.m.	Necesito guantes en invierno.
ropa	jersey	n.m.	Hace frío, ponte el jersey.
ropa	lana	n.f.	Un jersey de lana.
ropa	llevar	v.	Hoy llevo vaqueros.
ropa	manga	n.f.	La camisa tiene las mangas largas.
ropa	marca	n.f.	Es una marca muy conocida.
ropa	moda	n.f.	Sigue la última moda.
ropa	negro	adj.	Un vestido negro.
ropa	pantalón	n.m.	Estos pantalones me quedan bien.
ropa	pantalón corto	n.m.	En verano llevo pantalón corto.
ropa	paraguas	n.m.	Coge el paraguas, va a llover.
ropa	pañuelo	n.m.	Se puso un pañuelo al cuello.
ropa	pijama	n.m.	Se puso el pijama.
ropa	ponerse	v.pron.	Ponte el abrigo.
ropa	probador	n.m.	El probador está a la derecha.
ropa	probarse	v.pron.	¿Puedo probarme esta camisa?
ropa	quedar	v.	Ese vestido te queda muy bien.
ropa	quitarse	v.pron.	Me quito los zapatos en casa.
ropa	rojo	adj.	Zapatos rojos.
ropa	ropa interior	n.f.	Guardo la ropa interior en el cajón.
ropa	sandalia	n.f.	En verano llevo sandalias.
ropa	seda	n.f.	Una bufanda de seda.
ropa	sombrero	n.m.	Un sombrero para el sol.
ropa	sudadera	n.f.	Una sudadera con capucha.
ropa	talla	n.f.	¿Qué talla usas?
ropa	traje	n.m.	Va al trabajo con traje.
ropa	vaqueros	n.m.	Me pongo los vaqueros.
ropa	verde	adj.	Un jersey verde.
ropa	vestido	n.m.	Un vestido rojo precioso.
ropa	vestirse	v.pron.	Me visto rápido por la mañana.
ropa	zapatilla	n.f.	Corro con zapatillas.
ropa	zapato	n.m.	Me aprietan los zapatos.
trabajo	ascenso	n.m.	Le dieron un ascenso.
trabajo	becario	n.m.	El becario aprende rápido.
trabajo	beneficio	n.m.	La empresa tuvo grandes beneficios.
trabajo	carrera	n.f.	Estudió una carrera de derecho.
trabajo	cliente	n.m.	El cliente siempre tiene prisa.
trabajo	compañero	n.m.	Como con mis compañeros.
